Name,Team,Position
Brandon Nimmo,NYM,OF
Tyler Soderstrom,ATH,1B/OF
Matthew Boyd,CHC,SP
Drew Rasmussen,TBR,SP
Will Smith,LAD,C
Drake Baldwin,ATL,C
Logan Webb,SFG,SP
Ketel Marte,ARI,2B/DH
Agustín Ramírez,MIA,C/DH
Jarren Duran,BOS,OF
Michael Busch,CHC,1B
CJ Abrams,WSN,SS
Aroldis Chapman,BOS,RP
Zach Neto,LAA,SS
Chris Sale,ATL,SP
Seiya Suzuki,CHC,OF/DH
Taylor Ward,LAA,OF
Jeremy Peña,HOU,SS
Hunter Greene,CIN,SP
Jose Altuve,HOU,2B/OF/DH
Kevin Gausman,TOR,SP
Alejandro Kirk,TOR,C
Mookie Betts,LAD,SS
Brandon Lowe,TBR,2B
Dansby Swanson,CHC,SS
Andrew Abbott,CIN,SP
Edwin Díaz,NYM,RP
Willy Adames,SFG,SS
Cade Horton,CHC,SP
Ramón Laureano,BAL/SDP,OF
Merrill Kelly,ARI/TEX,SP
Yainer Diaz,HOU,C/DH
Sal Frelick,MIL,OF
Jo Adell,LAA,OF
Bryce Harper,PHI,1B
Nick Lodolo,CIN,SP
Jesús Luzardo,PHI,SP
Logan Gilbert,SEA,SP
Gavin Williams,CLE,SP
Trent Grisham,NYY,OF
Kyle Stowers,MIA,OF
Spencer Schwellenbach,ATL,SP
Noah Cameron,KCR,SP
Ranger Suárez,PHI,SP
Dillon Dingler,DET,C
Jorge Polanco,SEA,2B/DH
Steven Kwan,CLE,OF
Jhoan Duran,MIN/PHI,RP
Andrés Muñoz,SEA,RP
Kris Bubic,KCR,SP
Shota Imanaga,CHC,SP
Ian Happ,CHC,OF
Robert Suarez,SDP,RP
Ceddanne Rafaela,BOS,2B/OF
Austin Wells,NYY,C
J.T. Realmuto,PHI,C
Josh Hader,HOU,RP
Michael Harris II,ATL,OF
Heliot Ramos,SFG,OF
Spencer Torkelson,DET,1B
Ryne Nelson,ARI,SP
Wyatt Langford,TEX,OF
Lawrence Butler,ATH,OF
Teoscar Hernández,LAD,OF
Jacob Wilson,ATH,SS
Mickey Moniak,COL,OF
Quinn Priester,MIL,SP
Adrian Morejon,SDP,RP
Luis Castillo,SEA,SP
Framber Valdez,HOU,SP
Jameson Taillon,CHC,SP
Robbie Ray,SFG,SP
Eric Lauer,TOR,SP
Bryson Stott,PHI,2B
Emmet Sheehan,LAD,SP
Carlos Estévez,KCR,RP
Ryan Pepiot,TBR,SP
Brandon Woodruff,MIL,SP
Xavier Edwards,MIA,2B/SS
David Bednar,PIT/NYY,RP
Willson Contreras,STL,1B
Alec Burleson,STL,1B/OF/DH
Luis Arraez,SDP,1B/DH
Ronald Acuña Jr.,ATL,OF
Christian Walker,HOU,1B
Gleyber Torres,DET,2B
Carson Kelly,CHC,C
Sonny Gray,STL,SP
Zack Littell,TBR/CIN,SP
Cade Smith,CLE,RP
Otto Lopez,MIA,2B/SS
Brady Singer,CIN,SP
Tyler Mahle,TEX,SP
Ryan O'Hearn,BAL/SDP,1B/OF/DH
Casey Mize,DET,SP
TJ Friedl,CIN,OF
Ozzie Albies,ATL,2B
Brayan Bello,BOS,SP
Iván Herrera,STL,DH
Lenyn Sosa,CHW,1B/2B
Luis García Jr.,WSN,2B
Kenley Jansen,LAA,RP
Emilio Pagán,CIN,RP
Clayton Kershaw,LAD,SP
Chandler Simpson,TBR,OF
Harrison Bader,MIN/PHI,OF
Edward Cabrera,MIA,SP
Oneil Cruz,PIT,OF
Carlos Narváez,BOS,C
Trevor Megill,MIL,RP
Jordan Beck,COL,OF
Ryan Jeffers,MIN,C/DH
Gabriel Moreno,ARI,C
Nolan McLean,NYM,SP
Lourdes Gurriel Jr.,ARI,OF
Ernie Clement,TOR,2B/3B/SS
Nick Castellanos,PHI,OF
Jeff Hoffman,TOR,RP
Tyler Glasnow,LAD,SP
Jonathan Aranda,TBR,1B
Kerry Carpenter,DET,OF/DH
George Kirby,SEA,SP
Xander Bogaerts,SDP,SS
Pablo López,MIN,SP
Jack Dreyer,LAD,SP
Dennis Santana,PIT,RP
Raisel Iglesias,ATL,RP
Eury Pérez,MIA,SP
Spencer Steer,CIN,1B
Zach McKinstry,DET,3B/SS/OF
Shawn Armstrong,TEX,RP
Mason Miller,ATH/SDP,RP
Alex Bregman,BOS,3B
Lucas Giolito,BOS,SP
Jackson Holliday,BAL,2B
Matt Chapman,SFG,3B
Clay Holmes,NYM,SP
Mike Trout,LAA,OF/DH
Austin Hays,CIN,OF/DH
José Caballero,TBR/NYY,2B/3B/SS/OF
Addison Barger,TOR,3B/OF
Ronny Henriquez,MIA,RP
J.P. Crawford,SEA,SS
Shane Smith,CHW,SP
Wilyer Abreu,BOS,OF
Jung Hoo Lee,SFG,OF
Blake Snell,LAD,SP
Kodai Senga,NYM,SP
Luis Robert Jr.,CHW,OF
Jack Leiter,TEX,SP
Victor Caratini,HOU,C/DH
Tyler Holton,DET,SP
Pete Fairbanks,TBR,RP
Tanner Bibee,CLE,SP
Jeffrey Springs,ATH,SP
Adolis García,TEX,OF
Joey Cantillo,CLE,SP
Colin Rea,CHC,SP
Corey Seager,TEX,SS
Jasson Domínguez,NYY,OF
Bryan Reynolds,PIT,OF/DH
Hurston Waldrep,ATL,SP
Jackson Merrill,SDP,OF
Gavin Sheets,SDP,OF/DH
Caleb Durbin,MIL,3B
Dean Kremer,BAL,SP
Brendan Donovan,STL,2B
Michael Wacha,KCR,SP
Tyler Stephenson,CIN,C
Abner Uribe,MIL,RP
Cam Schlittler,NYY,SP
Clarke Schmidt,NYY,SP
Anthony Volpe,NYY,SS
Adrian Houser,CHW/TBR,SP
Kyle Teel,CHW,C
Miguel Vargas,CHW,1B/3B
Isaac Collins,MIL,OF
Will Vest,DET,RP
Paul Goldschmidt,NYY,1B
Chris Bassitt,TOR,SP
Alec Bohm,PHI,3B
Kyle Higashioka,TEX,C/DH
Cedric Mullins,BAL/NYM,OF
Braxton Ashcraft,PIT,SP/RP
Corbin Burnes,ARI,SP
Jake Mangum,TBR,OF
Garrett Whitlock,BOS,RP
Giancarlo Stanton,NYY,OF/DH
Michael King,SDP,SP
Trevor Larnach,MIN,OF/DH
Jacob Lopez,ATH,SP
Stephen Kolek,SDP/KCR,SP
Carlos Correa,MIN/HOU,3B/SS
Nathaniel Lowe,WSN/BOS,1B
Brenton Doyle,COL,OF
Reese Olson,DET,SP
Nolan Schanuel,LAA,1B
Liam Hicks,MIA,C/1B/DH
Shohei Ohtani,LAD,SP
Romy Gonzalez,BOS,1B/2B
Matt McLain,CIN,2B
Brett Baty,NYM,2B/3B
Marcus Semien,TEX,2B
Max Muncy,LAD,3B
Brandon Marsh,PHI,OF
Patrick Bailey,SFG,C
Masyn Winn,STL,SS
Kyle Manzardo,CLE,1B/DH
Jose Quintana,MIL,SP
Brad Keller,CHC,RP
Shane Bieber,TOR,SP
Jason Adam,SDP,RP
Ian Seymour,TBR,SP/RP
Jacob Latz,TEX,SP
Andrew Benintendi,CHW,OF/DH
Luis Morales,ATH,SP
Brandon Walter,HOU,SP
Janson Junk,MIA,SP
Daylen Lile,WSN,OF
Pedro Pagés,STL,C
Matt Svanson,STL,RP
Kyle Finnegan,WSN/DET,RP
Simeon Woods Richardson,MIN,SP
Nathan Lukes,TOR,OF
Bryan Abreu,HOU,RP
Sean Newcomb,BOS/ATH,SP
Logan O'Hoppe,LAA,C
Nick Martinez,CIN,SP
Francisco Alvarez,NYM,C
Slade Cecconi,CLE,SP
Marcell Ozuna,ATL,DH
Jacob Misiorowski,MIL,SP
Gabe Speier,SEA,RP
Emmanuel Clase,CLE,RP
Chad Patrick,MIL,SP
Randy Rodríguez,SFG,RP
Bo Naylor,CLE,C
Eduard Bazardo,SEA,RP
Jesús Sánchez,MIA/HOU,OF
Edgar Quero,CHW,C/DH
Carmen Mlodzinski,PIT,SP
Austin Riley,ATL,3B
Noelvi Marte,CIN,3B/OF
Javier Báez,DET,3B/SS/OF
Edwin Uceta,TBR,RP
Tyler Rogers,SFG/NYM,RP
Isaac Paredes,HOU,3B
Griffin Canning,NYM,SP
Sean Murphy,ATL,C
Josh Jung,TEX,3B
Tylor Megill,NYM,SP
Dylan Cease,SDP,SP
Danny Jansen,TBR/MIL,C
Jack Flaherty,DET,SP
Josh Bell,WSN,1B/DH
Cole Ragans,KCR,SP
Zac Gallen,ARI,SP
Jake Cronenworth,SDP,2B
Mike Yastrzemski,SFG/KCR,OF
Jordan Westburg,BAL,3B
Tyler Gilbert,CHW,SP/RP
Parker Messick,CLE,SP
Seth Lugo,KCR,SP
Josh Smith,TEX,1B/3B/SS
Jonah Heim,TEX,C/DH
Colt Keith,DET,2B/3B/DH
José Berríos,TOR,SP
Braydon Fisher,TOR,RP
Steven Okert,HOU,RP
Alex Vesia,LAD,RP
Aaron Ashby,MIL,RP
Jurickson Profar,ATL,OF
Michael Soroka,WSN/CHC,SP
Phil Maton,STL/TEX,RP
Garrett Cleavinger,TBR,RP
Javier Assad,CHC,SP
Daniel Palencia,CHC,RP
Matt Shaw,CHC,3B
Spencer Horwitz,PIT,1B
Bryan King,HOU,RP
Shelby Miller,ARI/MIL,RP
Ronel Blanco,HOU,SP
Miguel Andujar,ATH/CIN,3B/OF/DH
Daulton Varsho,TOR,OF
Wilmer Flores,SFG,1B/DH
Martín Pérez,CHW,SP
Victor Scott II,STL,OF
Tyler Freeman,COL,OF/DH
Michael McGreevy,STL,SP
Johan Oviedo,PIT,SP
Jake Meyers,HOU,OF
Tanner Banks,PHI,RP
Lucas Erceg,KCR,RP
Brooks Lee,MIN,2B/3B/SS
Colson Montgomery,CHW,SS
Ryan Bergert,SDP/KCR,SP
Mike Burrows,PIT,SP
Ben Lively,CLE,SP
Mike Vasil,CHW,RP
Mitch Keller,PIT,SP
Bennett Sousa,HOU,RP
Grant Holmes,ATL,SP
Matthew Liberatore,STL,SP
Devin Williams,NYY,RP
Luis Gil,NYY,SP
Caleb Thielbar,CHC,RP
Ryan Yarbrough,NYY,SP/RP
Luke Weaver,NYY,RP
JoJo Romero,STL,RP
Davis Martin,CHW,SP
Lars Nootbaar,STL,OF
MacKenzie Gore,WSN,SP
Eric Wagaman,MIA,1B/OF
Greg Weissert,BOS,RP
Will Warren,NYY,SP
Jared Koenig,MIL,RP
Hunter Dobbins,BOS,SP
Andrew Kittredge,BAL/CHC,RP
Freddy Fermin,KCR/SDP,C
Landen Roupp,SFG,SP
Jacob Webb,TEX,RP
Jeremiah Estrada,SDP,RP
Tony Santillan,CIN,RP
David Peterson,NYM,SP
Josh Lowe,TBR,OF
Ryan Weathers,MIA,SP
Tyler Heineman,TOR,C
Yu Darvish,SDP,SP
Adley Rutschman,BAL,C
José Soriano,LAA,SP
Matt Strahm,PHI,RP
Shane Baz,TBR,SP
Gavin Lux,CIN,OF/DH
Adam Frazier,PIT/KCR,2B/OF
Wenceel Pérez,DET,OF
AJ Smith-Shawver,ATL,SP
Calvin Faucher,MIA,RP
Robert Garcia,TEX,RP
Andrew Vaughn,CHW/MIL,1B
Joey Ortiz,MIL,SS
Cam Smith,HOU,OF
Lake Bachar,MIA,RP
Mark Vientos,NYM,3B/DH
Mitch Garver,SEA,C/DH
Max Kepler,PHI,OF
Steven Matz,STL/BOS,RP
Riley O'Brien,STL,RP
Spencer Strider,ATL,SP
Camilo Doval,SFG/NYY,RP
Anthony Bender,MIA,RP
Royce Lewis,MIN,3B
Ryan McMahon,COL/NYY,3B
Ryan Walker,SFG,RP
Randy Vásquez,SDP,SP
Roman Anthony,BOS,OF
Justin Sterner,ATH,RP
Orion Kerkering,PHI,RP
Justin Verlander,SFG,SP
Cristian Javier,HOU,SP
Luis Ortiz,CLE,SP
Logan Evans,SEA,SP
Kody Clemens,PHI/MIN,1B/2B/OF
Dylan Lee,ATL,RP
Elias Díaz,SDP,C
Bailey Falter,PIT/KCR,SP
Isiah Kiner-Falefa,PIT/TOR,3B/SS
Brad Lord,WSN,SP
Joey Bart,PIT,C
Andrew McCutchen,PIT,DH
Tommy Pham,PIT,OF
Yusei Kikuchi,LAA,SP
Luis Rengifo,LAA,2B/3B
Landon Knack,LAD,SP
Tony Gonsolin,LAD,SP
Nick Mears,MIL,RP
Chase Burns,CIN,SP/RP
Jeff McNeil,NYM,2B/OF
Jackson Jobe,DET,SP
Myles Straw,TOR,OF
Kyle Harrison,SFG/BOS,SP/RP
Jordan Leasure,CHW,RP
Drew Pomeranz,CHC,RP
Tobias Myers,MIL,SP/RP
Ty France,MIN/TOR,1B
Nolan Arenado,STL,3B
Kyle Hart,SDP,SP/RP
Michael Lorenzen,KCR,SP
Max Scherzer,TOR,SP
Jake Burger,TEX,1B
Austin Wynns,CIN/ATH,C
Alek Thomas,ARI,OF
Luis Severino,ATH,SP
Reese McGuire,CHC,C
Miguel Amaya,CHC,C
Aaron Civale,MIL/CHW/CHC,SP
David Festa,MIN,SP
Angel Martínez,CLE,2B/OF
JP Sears,ATH/SDP,SP
Heriberto Hernández,MIA,OF/DH
Keider Montero,DET,SP
Tommy Edman,LAD,2B/OF
Louis Varland,MIN/TOR,RP
Tomoyuki Sugano,BAL,SP
Brant Hurter,DET,RP
Jose Trevino,CIN,C
Cade Cavalli,WSN,SP
Richard Fitts,BOS,SP
Sean Manaea,NYM,SP
Tyler Kinley,COL/ATL,RP
Jimmy Herget,COL,RP
Bryan Baker,BAL/TBR,RP
Willi Castro,MIN/CHC,2B/3B/OF
Kyle Leahy,STL,RP
Brock Burke,LAA,RP
Jakob Marsee,MIA,OF
Yariel Rodríguez,TOR,RP
Patrick Corbin,TEX,SP
Jason Alexander,ATH/HOU,SP
Joe Boyle,TBR,SP
Logan Allen,CLE,SP
Ke'Bryan Hayes,PIT/CIN,3B
Dominic Canzone,SEA,OF
Seranthony Domínguez,BAL/TOR,RP
Max Meyer,MIA,SP
Anthony Banda,LAD,RP
Luis Torrens,NYM,C
Tyler Phillips,MIA,RP
James McCann,ARI,C
Chase Meidroth,CHW,2B/SS
Carlos Santana,CLE/CHC,1B
Victor Vodnik,COL,RP
Taylor Clarke,KCR,RP
Eli White,ATL,OF
Matt Wallner,MIN,OF
J.T. Ginn,ATH,SP
Jonathan India,KCR,2B/3B/OF/DH
Mike Tauchman,CHW,OF
Hayden Birdsong,SFG,SP/RP
Jalen Beeks,ARI,RP
Roki Sasaki,LAD,SP
Brendon Little,TOR,RP
Kyle Hendricks,LAA,SP
Isaac Mattson,PIT,RP
Troy Melton,DET,RP
Keegan Akin,BAL,RP
Hunter Gaddis,CLE,RP
Starling Marte,NYM,DH
Fernando Cruz,NYY,RP
Gabriel Arias,CLE,2B/SS
Tanner Scott,LAD,RP
Brandon Pfaadt,ARI,SP
Gary Sánchez,BAL,C
Cade Gibson,MIA,RP
Taijuan Walker,PHI,SP
Keibert Ruiz,WSN,C
Yoendrys Gómez,NYY/LAD/CHW,SP/RP
Cole Winn,TEX,RP
Danny Coulombe,MIN/TEX,RP
Tim Hill,NYY,RP
Matt Festa,CLE,RP
Huascar Brazobán,NYM,RP
Sandy Alcantara,MIA,SP
Nick Fortes,MIA/TBR,C
Edmundo Sosa,PHI,2B/3B
Connor Norby,MIA,3B
Pierce Johnson,ATL,RP
Luke Keaschall,MIN,2B
Rowdy Tellez,SEA/TEX,1B
Wandy Peralta,SDP,RP
Matt Brash,SEA,RP
Reid Detmers,LAA,RP
Jakob Junis,CLE,RP
Caleb Ferguson,PIT/SEA,RP
Spencer Arrighetti,HOU,SP
Chris Flexen,CHC,RP
Ezequiel Tovar,COL,SS
Sean Burke,CHW,SP
Colton Gordon,HOU,SP
Riley Adams,WSN,C
Yohel Pozo,STL,C
Mick Abel,PHI/MIN,SP
Colton Cowser,BAL,OF
Tyler Alexander,MIL/CHW,SP
Ryan Helsley,STL/NYM,RP
Carter Jensen,KCR,C/DH
Mason Fluharty,TOR,RP
Taj Bradley,TBR/MIN,SP
Justin Wrobleski,LAD,RP
Daniel Lynch IV,KCR,RP
Chase Shugart,PIT,RP
Daniel Schneemann,CLE,2B/3B/OF
Dylan Crews,WSN,OF
Brennan Bernardino,BOS,RP
Jose A. Ferrer,WSN,RP
Ramón Urías,BAL/HOU,2B/3B
Dalton Rushing,LAD,C
Emerson Hancock,SEA,SP
Kolby Allard,CLE,RP
Graham Ashcraft,CIN,RP
Miles Mikolas,STL,SP
Brock Stewart,MIN/LAD,RP
Javier Sanoja,MIA,2B/3B/OF
Zebby Matthews,MIN,SP
Chris Martin,TEX,RP
John Curtiss,ARI,RP
JJ Bleday,ATH,OF
Nolan Gorman,STL,2B/3B/DH
Alex Call,WSN/LAD,OF
Dustin May,LAD/BOS,SP
Chase Lee,DET,RP
Moisés Ballesteros,CHC,C/1B/DH
John Schreiber,KCR,RP
Bailey Ober,MIN,SP
Brooks Baldwin,CHW,OF
Michael Kelly,ATH,RP
Marcus Stroman,NYY,SP
Dane Myers,MIA,OF
Zach Eflin,BAL,SP
Valente Bellozo,MIA,SP
Grant Anderson,MIL,RP
Kumar Rocker,TEX,SP
Alex Jackson,BAL,C
Frankie Montas,NYM,SP
Ben Casparius,LAD,RP
Cole Sands,MIN,RP
Max Kranick,NYM,RP
David Morgan,SDP,RP
Hogan Harris,ATH,RP
Kyle Isbel,KCR,OF
Justin Wilson,BOS,RP
José Ureña,NYM/TOR/LAD/MIN/LAA,SP/RP
Jack Perkins,ATH,RP
Evan Carter,TEX,OF
Enyel De Los Santos,ATL/HOU,RP
Reed Garrett,NYM,RP
Aaron Nola,PHI,SP
Will Benson,CIN,OF
Casey Schmitt,SFG,2B/3B
Taylor Walls,TBR,SS
Walker Buehler,BOS/PHI,SP
Rhys Hoskins,MIL,1B
Scott Barlow,CIN,RP
Travis d'Arnaud,LAA,C
Yoán Moncada,LAA,3B
Rob Refsnyder,BOS,OF/DH
Christopher Morel,TBR,OF
Dylan Moore,SEA/TEX,2B/OF
Brayan Rocchio,CLE,2B/SS
Matt Thaiss,CHW/TBR,C
Miguel Rojas,LAD,2B/3B/SS
Henry Davis,PIT,C
Steven Cruz,KCR,RP
Jake Rogers,DET,C
Davis Schneider,TOR,2B/OF
Brenan Hanifee,DET,RP
Mitch Spence,ATH,SP
Jordan Walker,STL,OF
Braxton Fulford,COL,C
Mauricio Dubón,HOU,2B/3B/SS/OF
Aaron Bummer,ATL,RP
Steven Wilson,CHW,RP
Jared Triolo,PIT,1B/3B/SS
Andrés Giménez,TOR,2B
Ryan Gusto,HOU/MIA,SP
Ryan Zeferjahn,LAA,RP
Jose Herrera,ARI,C
Juan Mejia,COL,RP
Taylor Rogers,CIN/CHC,RP
Drew Millas,WSN,C/DH
Eric Haase,MIL,C
Luke Jackson,TEX/DET/SEA,RP
Jacob Young,WSN,OF
Pavin Smith,ARI,1B/DH
Nick Gonzales,PIT,2B
José Buttó,NYM/SFG,RP
Ryan Mountcastle,BAL,1B/DH
Kirby Yates,LAD,RP
Kody Funderburk,MIN,RP
DL Hall,MIL,RP
David Hamilton,BOS,2B
Eric Orze,TBR,RP
Griffin Jax,MIN/TBR,RP
Dominic Smith,SFG,1B
Hoby Milner,TEX,RP
Elvis Alvarado,ATH,RP
Grant Taylor,CHW,RP
Ryan Thompson,ARI,RP
Mickey Gasper,MIN,C/1B/2B/OF/DH
Rafael Marchán,PHI,C
Martín Maldonado,SDP,C
Spencer Bivens,SFG,RP
Jake Bauers,MIL,1B/OF
Bryce Miller,SEA,SP
Daysbel Hernández,ATL,RP
Ben Brown,CHC,SP
Carlos Vargas,SEA,RP
Tanner Gordon,COL,SP
Dietrich Enns,DET/BAL,RP
Angel Zerpa,KCR,RP
Mark Leiter Jr.,NYY,RP
Samuel Basallo,BAL,C
Korey Lee,CHW,C/OF/DH
Luke Maile,KCR,C
Jonathan Bowlan,KCR,RP
Tyler Ferguson,ATH,RP
Willie MacIver,ATH,C
Ian Hamilton,NYY,RP
Yuki Matsui,SDP,RP
Andrew Knizner,SFG,C
J.C. Escarra,NYY,C
Bryce Elder,ATL,SP
Christian Vázquez,MIN,C
Tommy Kahnle,DET,RP
Michael Conforto,LAD,OF
Lou Trivino,SFG/LAD/PHI,RP
Tomás Nido,DET,C
Hyeseong Kim,LAD,2B
Brian Navarreto,MIA,C
Tyler Anderson,LAA,SP
Chris Paddack,MIN/DET,SP
Luis García,LAD/WSN/LAA,RP
Michael A. Taylor,CHW,OF
Tristan Beck,SFG,RP
Mason Englert,TBR,RP
Bowden Francis,TOR,SP
Cade Povich,BAL,SP
Sam Huff,SFG,C
Austin Hedges,CLE,C
Jahmai Jones,DET,OF/DH
Sam Haggerty,TEX,OF
Jorge Alfaro,WSN,C
Jorge Soler,LAA,OF/DH
Jake Fraley,CIN/ATL,OF
Blaze Alexander,ARI,3B
Eduardo Rodriguez,ARI,SP
Tyrone Taylor,NYM,OF
Connor Wong,BOS,C
Jhonny Pereda,ATH/MIN,C
Tyler Tolbert,KCR,OF
Tim Herrin,CLE,RP
Joey Lucchesi,SFG,RP
Joey Wentz,PIT/MIN/ATL,SP
Randal Grichuk,ARI/KCR,OF/DH
Abraham Toro,BOS,1B
Omar Narváez,CHW,C
Andrew Heaney,PIT/LAD,SP
Brandon Eisert,CHW,RP
Kaleb Ort,HOU,RP
Brandon Young,BAL,SP
Seth Halvorsen,COL,RP
Sebastián Rivero,LAA,C
Otto Kemp,PHI,3B
Ben Williamson,SEA,3B
Christian Koss,SFG,2B
Rob Brantly,MIA,C
Austin Barnes,LAD,C/1B
Nolan Jones,CLE,OF
Dom Nuñez,CLE,C
Sandy León,ATL,C
Justin Topa,MIN,RP
Coby Mayo,BAL,1B
Hayden Senger,NYM,C
Trent Thornton,SEA,RP
Jose Iglesias,SDP,2B/3B/SS
Brett Sullivan,PIT,C
Ryan Pressly,CHC,RP
Zack Kelly,BOS,RP
Logan Porter,SFG,C
Anthony DeSclafani,ARI,RP
Gregory Soto,BAL/NYM,RP
Harry Ford,SEA,C/DH
Chadwick Tromp,ATL/BAL,C
Enrique Hernández,LAD,1B/3B/OF
Chuckie Robinson,LAD,C
Carlos Carrasco,NYY/ATL,SP
Amed Rosario,WSN/NYY,3B
César Salazar,HOU,C/DH
Ali Sánchez,TOR/BOS,C/1B
Ben Rortvedt,TBR/LAD,C
Luis Matos,SFG,OF
Connor Brogdon,LAA,RP
Tucker Barnhart,TEX,C
Blake Sabol,BOS,C
Luisangel Acuña,NYM,2B
Endy Rodríguez,PIT,C/1B
Cole Henry,WSN,RP
Rafael Montero,HOU/ATL/DET,RP
C.J. Stubbs,WSN,C
Drew Romo,COL,C
Brady House,WSN,3B
Rafael Flores Jr.,PIT,C/1B
Aramis Garcia,ARI,C
Yordan Alvarez,HOU,DH
Austin Nola,COL,C/1B
Hunter Feduccia,LAD/TBR,C
Kameron Misner,TBR,OF
Will Banfield,CIN,C
Kyle Nicolas,PIT,RP
Thomas Saggese,STL,2B/SS
Luis Urías,ATH,2B
Max Lazar,PHI,RP
Lance McCullers Jr.,HOU,SP
Austin Martin,MIN,OF
Casey Legumina,SEA,RP
Yerry De los Santos,NYY,RP
Kyle Freeland,COL,SP
Jimmy Crooks,STL,C/DH
Jeremiah Jackson,BAL,OF
Kyle Farmer,COL,2B/DH
Tim Tawa,ARI,1B/2B/OF
Johan Rojas,PHI,OF
Jonathan Cannon,CHW,SP
Carson Seymour,SFG,RP
Tyler O'Neill,BAL,OF
Masataka Yoshida,BOS,DH
Brent Suter,CIN,RP
Blake Perkins,MIL,OF
Ryne Stanek,NYM,RP
Andy Ibáñez,DET,3B
Osvaldo Bido,ATH,SP
Scott Blewett,MIN/BAL/ATL,RP
Maverick Handley,BAL,C
Yennier Cano,BAL,RP
Trey Sweeney,DET,SS
Trevor Williams,WSN,SP
Jake Bird,COL/NYY,RP
Chad Green,TOR,RP
Michael Helman,TEX,OF
Kevin Kelly,TBR,RP
Charlie Morton,BAL/DET/ATL,SP
Jacob Stallings,COL/BAL,C
Joey Loperfido,TOR,OF
Paul DeJong,WSN,3B
Colby Thomas,ATH,OF
Ha-Seong Kim,TBR/ATL,SS
Andruw Monasterio,MIL,SS
Curtis Mead,TBR/CHW,1B/3B
Gordon Graceffo,STL,RP
Alexander Canario,PIT,OF
Kristian Campbell,BOS,2B
Nasim Nuñez,WSN,2B/SS/OF
Joe Ross,PHI,RP
Bryse Wilson,CHW,SP/RP
Jordan Hicks,SFG/BOS,SP/RP
Tanner Houck,BOS,SP
Lyon Richardson,CIN,RP
Max Muncy,ATH,2B/3B
Nate Eaton,BOS,OF
Michael Massey,KCR,2B
Nick Allen,ATL,SS
C.J. Kayfus,CLE,OF
Thairo Estrada,COL,2B
Carlos Cortes,ATH,OF
Tyler Fitzgerald,SFG,2B
Leo Rivas,SEA,2B
Robert Hassell III,WSN,OF
Miles Mastrobuoni,SEA,3B/OF
Michael Toglia,COL,1B
Kyren Paris,LAA,OF
Troy Johnston,MIA,OF
Ryan Ritter,COL,2B/SS
Drew Waters,KCR,OF
Cole Young,SEA,2B
Brandon Lockridge,SDP/MIL,OF
Mason Montgomery,TBR,RP
Derek Hill,MIA/CHW,OF
Andre Pallante,STL,SP
Christian Moore,LAA,2B
Parker Meadows,DET,OF
Mitchell Parker,WSN,SP
Jordan Romano,PHI,RP
Ildemaro Vargas,ARI,1B/2B/3B/SS/DH
John King,STL,RP
Cal Quantrill,MIA/ATL,SP
Bryce Johnson,SDP,OF
Ronny Mauricio,NYM,3B
Jake McCarthy,ARI,OF
Joc Pederson,TEX,DH
Sam Long,KCR,RP
Austin Slater,CHW/NYY,OF
John Rave,KCR,OF
